Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,77.0,1.0,77.0,77.0,0.1,45.30600000000001,0.0,0.0,0.0054874420166015625,,,,,,,,,,,,,,,,,,,,,16.480459881291576,13.405998464390404,44.12521088570108,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,131.0,2.0,54.0,131.0,0.1,29.806000000000026,0.0,0.0,5.235579252243042,,,,,,,,,,,,,,,,,,,,,9.501918989365722,9.76014983506175,29.35157016333075,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,159.0,3.0,28.0,159.0,0.1,13.604999999999995,0.0,0.0,8.352035284042358,,,,,,,,,,,,,,,,,,,,,4.296146753456706,4.648371215644002,13.511717814815032,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,246.0,4.0,87.0,246.0,0.1,57.01099999999999,0.0,0.0,16.402896404266357,,,,,,,,,,,,,,,,,,,,,20.37456745698612,18.206256046366335,55.34905539297275,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,311.0,5.0,65.0,311.0,0.1,42.50599999999999,0.0,0.0,22.584460496902466,,,,,,,,,,,,,,,,,,,,,16.845236167539458,12.936729695711845,41.49400616743864,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,352.0,6.0,41.0,352.0,0.1,27.105000000000015,0.0,0.0,26.62789535522461,,,,,,,,,,,,,,,,,,,,,10.010801394359431,9.218236138557208,26.748026447700223,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,402.0,7.0,50.0,402.0,0.1,15.417999999999985,0.0,0.0,31.70979642868042,,,,,,,,,,,,,,,,,,,,,3.177232177575757,4.665295887925557,15.289702506431576,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,448.0,8.0,46.0,448.0,0.1,27.30600000000002,0.0,0.0,36.233784198760986,,,,,,,,,,,,,,,,,,,,,9.265798677093683,9.131938106272894,26.933613554348835,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,482.0,9.0,34.0,482.0,0.1,16.30700000000001,0.0,0.0,39.76265549659729,,,,,,,,,,,,,,,,,,,,,4.838450387774034,5.527700348074816,16.17482616431816,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,519.0,10.0,37.0,519.0,0.1,20.20700000000002,0.0,0.0,43.50863265991211,,,,,,,,,,,,,,,,,,,,,6.483778277132177,6.912348626971906,20.007094385422572,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
